ContaCurto;ContaNome;ContaCompleto;Data;Historico;ContraPartida;Documento;Lote;Debito;Credito;SaldoAnterior;Saldo
00113;"Caixa Econômica Federal ";111020004;21/01/2025;"VR. DEB. C/C REF. REPARO DANO ESTRUTURAL MURO - WEVERTON COSME 2/2";00181;"";124;0,00;900,00;-15825,16;25053,79;
00113;"Caixa Econômica Federal ";111020004;22/01/2025;"VR. DEB. C/C REF.FRETE MERCADO LIVRE";00048;"";124;0,00;14,90;-15825,16;25068,69;
00113;"Caixa Econômica Federal ";111020004;22/01/2025;"VR. DEB. C/C REF. MFL ACESSORIOS LTDA NF 2.798.198";00066;"";124;0,00;25,80;-15825,16;25094,49;
00113;"Caixa Econômica Federal ";111020004;24/01/2025;"VR. DEB. C/C REF. TOKIO MARINE SEGURADORA S A";00008;"";124;0,00;529,67;-15825,16;25624,16;
00113;"Caixa Econômica Federal ";111020004;27/01/2025;"VR.DEB.C/C TELEFONE VIVO";00209;"";124;0,00;90,62;-15825,16;25714,78;
00113;"Caixa Econômica Federal ";111020004;27/01/2025;"VR.DEB.C/C MASTER CONSULTORIOS E CONSULTORIA MED";00122;"";124;0,00;120,00;-15825,16;25834,78;
00113;"Caixa Econômica Federal ";111020004;27/01/2025;"VR. DEB. C/C REF. PAGTO GROUP COM";00187;"";124;0,00;340,85;-15825,16;26175,63;
00113;"Caixa Econômica Federal ";111020004;27/01/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1.220";00186;"";124;0,00;357,50;-15825,16;26533,13;
00113;"Caixa Econômica Federal ";111020004;29/01/2025;"VR. DEB. C/C REF.GMC COMPONENTES ELETRICOS E NF 510.980";00066;"";124;0,00;128,97;-15825,16;26662,10;
00113;"Caixa Econômica Federal ";111020004;30/01/2025;"VR. DEB. C/C REF. FRETE MERCADO LIVRE";00048;"";124;0,00;17,90;-15825,16;26680,00;
00113;"Caixa Econômica Federal ";111020004;30/01/2025;"VR. DEB. C/C REF. DJ DE OLIVEIRA DISTRIBUIDORA NF 102.257";00189;"";124;0,00;70,44;-15825,16;26750,44;
00113;"Caixa Econômica Federal ";111020004;30/01/2025;"VR. DEB. C/C REF. MEU PRATA SUPERMERCADOS EIRELI";00193;"";124;0,00;177,90;-15825,16;26928,34;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C MOV.COBRANÇA CF. EXTRATO";00255;"";124;36080,00;0,00;-15825,16;-9151,66;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C RECEITA ACORDO CF.PLANILHA";00019;"";124;5768,57;0,00;-15825,16;-14920,23;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C.REF.RESTAGE CDB";348;"";124;1838,52;0,00;-15825,16;-16758,75;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR. CRED. C/C REF. TAXA DE AGUA";00116;"";124;1766,55;0,00;-15825,16;-18525,30;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C RECEITA RESERVA ESPAÇO GOURMET";397;"";124;300,00;0,00;-15825,16;-18825,30;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C.REF.PAGTO. JUROS E MULTA";264;"";124;97,53;0,00;-15825,16;-18922,83;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.CRED.C/C RECEITA CONTROLE DE ACESSO";00124;"";124;40,00;0,00;-15825,16;-18962,83;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.DEB.C/C RECEITA ACORDO CF.PLANILHA";00019;"";124;0,00;576,86;-15825,16;-18385,97;
00113;"Caixa Econômica Federal ";111020004;31/01/2025;"VR.DEB.C/C TARIFAS BANCARIAS CF EXTRATO";00244;"";124;0,00;1046,25;-15825,16;-17339,72;
00113;"Caixa Econômica Federal ";111020004;03/02/2025;"VR. DEB. C/C REF.EMBRASIL COMERCIO E IMPORTAÇÃO LTDA";00189;"";125;0,00;51,60;-15825,16;-17288,12;
00113;"Caixa Econômica Federal ";111020004;03/02/2025;"VR.DEB.C/C REF.FERIAS HUDSON";00033;"";125;0,00;3311,89;-15825,16;-13976,23;
00113;"Caixa Econômica Federal ";111020004;04/02/2025;"VR. DEB. C/C REF.REEMBOLSO TRANSPORTE";00208;"";125;0,00;17,98;-15825,16;-13958,25;
00113;"Caixa Econômica Federal ";111020004;04/02/2025;"VR. DEB. C/C REF. REEMBOLSO TRANSPORTE";00208;"";125;0,00;30,95;-15825,16;-13927,30;
00113;"Caixa Econômica Federal ";111020004;04/02/2025;"VR.DEB.C/C PRO-LABORE SINDICO";477;"";125;0,00;2000,00;-15825,16;-11927,30;
00113;"Caixa Econômica Federal ";111020004;04/02/2025;"VR.DEB.C/C HONORARIOS CONTABEIS N/MES";00188;"";125;0,00;2790,70;-15825,16;-9136,60;
00113;"Caixa Econômica Federal ";111020004;05/02/2025;"VR.CRED.C/C.REF.RESTAGE CDB";348;"";125;2751,68;0,00;-15825,16;-11888,28;
00113;"Caixa Econômica Federal ";111020004;05/02/2025;"VR.DEB.C/C VT";00230;"";125;0,00;1468,80;-15825,16;-10419,48;
00113;"Caixa Econômica Federal ";111020004;05/02/2025;"VR.DEB.C/C CIA BRASILEIRA SOLUCOES E SERVICOS REF.CARTAO ALIMENTACAO";00021;"";125;0,00;1853,76;-15825,16;-8565,72;
00113;"Caixa Econômica Federal ";111020004;05/02/2025;"VR.DEB.C/C REF.PAGTO.SALARIOS N/MES";00107;"";125;0,00;11406,19;-15825,16;2840,47;
00113;"Caixa Econômica Federal ";111020004;06/02/2025;"VR. DEB. C/C REF. GARRA DISTRIBUIDORA";00099;"";125;0,00;11,90;-15825,16;2852,37;
00113;"Caixa Econômica Federal ";111020004;06/02/2025;"VR.DEB.C/C.REF.PAGTO SUPERMERCADO APOIO MINEIRO";00189;"";125;0,00;50,87;-15825,16;2903,24;
00113;"Caixa Econômica Federal ";111020004;06/02/2025;"VR. DEB. C/C REF.GARRA DISTRIBUIDORA";00189;"";125;0,00;83,34;-15825,16;2986,58;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR.CRED.C/C.REF.RESTAGE CDB";348;"";125;180,33;0,00;-15825,16;2806,25;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1240";00144;"";125;0,00;25,00;-15825,16;2831,25;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1240";00189;"";125;0,00;33,90;-15825,16;2865,15;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1240";00048;"";125;0,00;35,00;-15825,16;2900,15;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF.AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1240";00121;"";125;0,00;37,50;-15825,16;2937,65;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1240";00066;"";125;0,00;297,60;-15825,16;3235,25;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR. DEB. C/C REF.MEGGA MOTOS OS 11252";00205;"";125;0,00;445,00;-15825,16;3680,25;
00113;"Caixa Econômica Federal ";111020004;07/02/2025;"VR.DEB.C/C FGTS MES";00114;"";125;0,00;1268,22;-15825,16;4948,47;
00113;"Caixa Econômica Federal ";111020004;10/02/2025;"VR.DEB.C/C.REF.PAGTO SINDEAC PQM";115;"";125;0,00;84,00;-15825,16;5032,47;
00113;"Caixa Econômica Federal ";111020004;10/02/2025;"VR. DEB. C/C REF. CARRETO FABRITELHAS";00048;"";125;0,00;180,00;-15825,16;5212,47;
00113;"Caixa Econômica Federal ";111020004;10/02/2025;"VR.DEB.C/C.REF.PAGTO. SINDEAC PAF";00035;"";125;0,00;690,20;-15825,16;5902,67;
00113;"Caixa Econômica Federal ";111020004;10/02/2025;"VR. DEB. C/C REF.FABRITELHAS INDUSTRIA COMERCIO E SERVIÇOS LTDA NF 4815";00138;"";125;0,00;797,24;-15825,16;6699,91;
00113;"Caixa Econômica Federal ";111020004;11/02/2025;"VR. DEB. C/C REF. ABASTECIMENTO MOTO COND. REEMBOLSO WESLLEY";00201;"";125;0,00;80,21;-15825,16;6780,12;
00113;"Caixa Econômica Federal ";111020004;11/02/2025;"VR. DEB. C/C REF. REEMBOLSO TRANSPORTE";00208;"";125;0,00;83,94;-15825,16;6864,06;
00113;"Caixa Econômica Federal ";111020004;11/02/2025;"VR. DEB. C/C REF.WARCIO ELERSON CORREA NF 807";00138;"";125;0,00;1446,00;-15825,16;8310,06;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO ALMEIDA ACABAMENTOS NF 1248";00181;"";125;0,00;66,00;-15825,16;8376,06;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR. DEB. C/C REF. MEGGA MOTOS OS11367";00205;"";125;0,00;198,00;-15825,16;8574,06;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR. DEB. C/C REF.ALMOCO DCJ";00193;"";125;0,00;259,00;-15825,16;8833,06;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR.DEB.C/C CTA CEMIG N/MES";00206;"";125;0,00;331,25;-15825,16;9164,31;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR.DEB.C/C CTA CEMIG N/MES";00206;"";125;0,00;1615,21;-15825,16;10779,52;
00113;"Caixa Econômica Federal ";111020004;14/02/2025;"VR. DEB. C/C REF. PARCELA OBRA DCJ";00138;"";125;0,00;2500,00;-15825,16;13279,52;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR. DEB. C/C REF.CARRTO AXF NF 1249";00048;"";125;0,00;35,00;-15825,16;13314,52;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR. DEB. C/C REF.CARRETO AXF NF 1255";00048;"";125;0,00;35,00;-15825,16;13349,52;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR.DEB.C/C.REF. SISTEMA PONTO TANGERINO";439;"";125;0,00;71,92;-15825,16;13421,44;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR. DEB. C/C REF.AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1255";00138;"";125;0,00;374,00;-15825,16;13795,44;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR. DEB. C/C REF. REAL COMERCIO LTDA NF 113308";00181;"";125;0,00;420,86;-15825,16;14216,30;
00113;"Caixa Econômica Federal ";111020004;17/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1249";00138;"";125;0,00;757,10;-15825,16;14973,40;
00113;"Caixa Econômica Federal ";111020004;18/02/2025;"VR. DEB. C/C REF.XAVIER LOCAÇÕES";00138;"";125;0,00;300,00;-15825,16;15273,40;
00113;"Caixa Econômica Federal ";111020004;19/02/2025;"VR.DESC.IRRF S/SALARIOS N/MES.";00023;"";125;0,00;93,23;-15825,16;15366,63;
00113;"Caixa Econômica Federal ";111020004;19/02/2025;"VR.DEB.C/C PIS S/FOLHA PAGATO.";00018;"";125;0,00;158,53;-15825,16;15525,16;
00113;"Caixa Econômica Federal ";111020004;19/02/2025;"VR.DEB.C/C REF.PAGATO.INSS";00112;"";125;0,00;5365,92;-15825,16;20891,08;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF. FRETE - SOUZA DAMIANI LTDA NF 336.981";00048;"";125;0,00;18,57;-15825,16;20909,65;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF. CARRETO - AXF MATERIAIS DE CONSTRUÇÃO NF 1254";00048;"";125;0,00;35,00;-15825,16;20944,65;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF.SOUZA DAMIANI LTDA NF 336.981";00138;"";125;0,00;72,34;-15825,16;21016,99;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF. CRONOS DISTRIBUIDORA LTDA NF 14.121";00138;"";125;0,00;153,80;-15825,16;21170,79;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF. AXF MATERIAIS DE CONSTRUÇÃO NF 1254";00138;"";125;0,00;191,90;-15825,16;21362,69;
00113;"Caixa Econômica Federal ";111020004;20/02/2025;"VR. DEB. C/C REF. FERRUM COMERCIO LTDA NF 6.000";00138;"";125;0,00;407,16;-15825,16;21769,85;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF.FRETE CLORAFER COMERCIO DE FERROS E METAIS LTDA NF 3285";00048;"";125;0,00;35,61;-15825,16;21805,46;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF. CLORAFER COMERCIO DE FERROS E METAIS LTDA NF 3285";00138;"";125;0,00;78,88;-15825,16;21884,34;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF. IPVA MOTO COND";00156;"";125;0,00;80,80;-15825,16;21965,14;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF. IPVA MOTO COND";00156;"";125;0,00;111,84;-15825,16;22076,98;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF. DELL ART";00115;"";125;0,00;260,00;-15825,16;22336,98;
00113;"Caixa Econômica Federal ";111020004;21/02/2025;"VR. DEB. C/C REF. DEIDNE BARBOSA FONSECA";00138;"";125;0,00;1700,00;-15825,16;24036,98;
00113;"Caixa Econômica Federal ";111020004;24/02/2025;"VR. DEB. C/C REF.ALMEIDA ACABAMENTOS FRETE";00048;"";125;0,00;35,00;-15825,16;24071,98;
00113;"Caixa Econômica Federal ";111020004;24/02/2025;"VR. DEB. C/C REF. LERROY MERLIN";00181;"";125;0,00;42,78;-15825,16;24114,76;
00113;"Caixa Econômica Federal ";111020004;24/02/2025;"VR. DEB. C/C REF. POSTO ATP LTDA";00201;"";125;0,00;98,35;-15825,16;24213,11;
00113;"Caixa Econômica Federal ";111020004;24/02/2025;"VR. DEB. C/C REF. LOCAMONTE FL-116776";00194;"";125;0,00;235,00;-15825,16;24448,11;
00113;"Caixa Econômica Federal ";111020004;24/02/2025;"VR. DEB. C/C REF. ALMEIDA ACABAMENTOS";00138;"";125;0,00;515,70;-15825,16;24963,81;
00113;"Caixa Econômica Federal ";111020004;25/02/2025;"VR. DEB. C/C REF.REEMBOLSO WESLLEY ABASTECIMENTO MOTO COND";00201;"";125;0,00;34,99;-15825,16;24998,80;
00113;"Caixa Econômica Federal ";111020004;25/02/2025;"VR.DEB.C/C TELEFONE";00209;"";125;0,00;90,62;-15825,16;25089,42;
00113;"Caixa Econômica Federal ";111020004;25/02/2025;"VR. DEB. C/C REF. PAGTO COND21 GROUP SOFTWARE";00187;"";125;0,00;340,85;-15825,16;25430,27;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. ALMEIDA ACABAMENTOS FRETE";00048;"";125;0,00;6,46;-15825,16;25436,73;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. ALMEIDA ACABAMENTOS";00138;"";125;0,00;43,34;-15825,16;25480,07;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. REEMBOLSO WESLLEY COMBUSTIVEL";00201;"";125;0,00;60,00;-15825,16;25540,07;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. LOC JABO";00048;"";125;0,00;80,00;-15825,16;25620,07;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. LOC JABO";00194;"";125;0,00;100,00;-15825,16;25720,07;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. REAL COMERCIO LTDA NF 30853";00138;"";125;0,00;345,99;-15825,16;26066,06;
00113;"Caixa Econômica Federal ";111020004;26/02/2025;"VR. DEB. C/C REF. TOKKIO MARINE SEGURADORA S A";00008;"";125;0,00;529,60;-15825,16;26595,66;
00113;"Caixa Econômica Federal ";111020004;27/02/2025;"VR.DEB.C/C MASTER CONSULTORIOS E CONSULTORIA MED";00122;"";125;0,00;120,00;-15825,16;26715,66;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.CRED.C/C MOV.COBRANÇA CF. EXTRATO";00255;"";125;33660,00;0,00;-15825,16;-6944,34;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.CRED.C/C RECEITA ACORDO CF.PLANILHA";00019;"";125;8248,64;0,00;-15825,16;-15192,98;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR. CRED. C/C REF. TAXA DE AGUA";00116;"";125;1522,16;0,00;-15825,16;-16715,14;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.CRED.C/C.REF.PAGTO. JUROS E MULTA";264;"";125;125,78;0,00;-15825,16;-16840,92;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR. DEB. C/C REF. ALMEIDA ACABAMENTOS";00138;"";125;0,00;67,50;-15825,16;-16773,42;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR. DEB. C/C REF. ALIMENTACAO DCJ";00193;"";125;0,00;259,00;-15825,16;-16514,42;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR. DEB. C/C REF.LOCAMONTE FL-116883";00194;"";125;0,00;300,00;-15825,16;-16214,42;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.DEB.C/C RECEITA ACORDO CF.PLANILHA";00019;"";125;0,00;824,86;-15825,16;-15389,56;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.DEB.C/C TARIFAS BANCARIAS CF EXTRATO";00244;"";125;0,00;1023,78;-15825,16;-14365,78;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR.DEB.C/C REF.FERIAS LUIS F";00033;"";125;0,00;3242,24;-15825,16;-11123,54;
00113;"Caixa Econômica Federal ";111020004;28/02/2025;"VR. DEB. C/C REF.PARCELA FINAL DCJ";00138;"";125;0,00;7500,00;-15825,16;-3623,54;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.CRED.C/C.REF.RESTAGE CDB";348;"";126;18958,07;0,00;-15825,16;-22581,61;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR. DEB. C/C REF.CARRETO AXF NF 1271";00048;"";126;0,00;70,00;-15825,16;-22511,61;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C.REF.PAGTO SUPERMERCADOS BH";00193;"";126;0,00;194,66;-15825,16;-22316,95;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR. DEB. C/C REF. WEVERTON COSME - PINTURA PORTAO";236;"";126;0,00;900,00;-15825,16;-21416,95;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR. DEB. C/C REF.AXF MATERIAIS DE CONSTRUÇÃO LTDA NF 1271";00186;"";126;0,00;1158,60;-15825,16;-20258,35;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C VT";00230;"";126;0,00;1169,60;-15825,16;-19088,75;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C CIA BRASILEIRA SOLUCOES E SERVICOS REF.CARTAO ALIMENTACAO";00021;"";126;0,00;1856,22;-15825,16;-17232,53;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C HONORARIOS CONTABEIS N/MES";00188;"";126;0,00;2790,70;-15825,16;-14441,83;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C PRO-LABORE SINDICO";477;"";126;0,00;3000,00;-15825,16;-11441,83;
00113;"Caixa Econômica Federal ";111020004;05/03/2025;"VR.DEB.C/C REF.PAGTO.SALARIOS N/MES";00107;"";126;0,00;11399,06;-15825,16;-42,77;
00113;"Caixa Econômica Federal ";111020004;06/03/2025;"VR.CRED.C/C.REF.RESTAGE CDB";348;"";126;202,32;0,00;-15825,16;-245,09;
00113;"Caixa Econômica Federal ";111020004;06/03/2025;"VR. DEB. C/C REF.JASON DIAS - VIDROS PORTARIA";236;"";126;0,00;1780,00;-15825,16;1534,91;
00113;"Caixa Econômica Federal ";111020004;07/03/2025;"VR. DEB. C/C REF. UBER ESCRITORIO ADEC E COMPRA DE TINTAS";00208;"";126;0,00;78,52;-15825,16;1613,43;
